date,sku_id,demand_units,weekday
2011-09-26,UCI-85123A,48,Mon
2011-09-27,UCI-85123A,21,Tue
2011-09-28,UCI-85123A,125,Wed
2011-09-29,UCI-85123A,80,Thu
2011-09-30,UCI-85123A,113,Fri
2011-10-01,UCI-85123A,0,Sat
2011-10-02,UCI-85123A,21,Sun
2011-10-03,UCI-85123A,23,Mon
2011-10-04,UCI-85123A,20,Tue
2011-10-05,UCI-85123A,49,Wed
2011-10-06,UCI-85123A,13,Thu
2011-10-07,UCI-85123A,34,Fri
2011-10-08,UCI-85123A,0,Sat
2011-10-09,UCI-85123A,26,Sun
2011-10-10,UCI-85123A,127,Mon
2011-10-11,UCI-85123A,46,Tue
2011-10-12,UCI-85123A,25,Wed
2011-10-13,UCI-85123A,243,Thu
2011-10-14,UCI-85123A,187,Fri
2011-10-15,UCI-85123A,0,Sat
2011-10-16,UCI-85123A,55,Sun
2011-10-17,UCI-85123A,69,Mon
2011-10-18,UCI-85123A,21,Tue
2011-10-19,UCI-85123A,42,Wed
2011-10-20,UCI-85123A,26,Thu
2011-10-21,UCI-85123A,13,Fri
2011-10-22,UCI-85123A,0,Sat
2011-10-23,UCI-85123A,63,Sun
2011-10-24,UCI-85123A,76,Mon
2011-10-25,UCI-85123A,16,Tue
2011-10-26,UCI-85123A,20,Wed
2011-10-27,UCI-85123A,117,Thu
2011-10-28,UCI-85123A,90,Fri
2011-10-29,UCI-85123A,0,Sat
2011-10-30,UCI-85123A,128,Sun
2011-10-31,UCI-85123A,152,Mon
2011-11-01,UCI-85123A,39,Tue
2011-11-02,UCI-85123A,80,Wed
2011-11-03,UCI-85123A,1265,Thu
2011-11-04,UCI-85123A,85,Fri
2011-11-05,UCI-85123A,0,Sat
2011-11-06,UCI-85123A,86,Sun
2011-11-07,UCI-85123A,98,Mon
2011-11-08,UCI-85123A,111,Tue
2011-11-09,UCI-85123A,113,Wed
2011-11-10,UCI-85123A,71,Thu
2011-11-11,UCI-85123A,134,Fri
2011-11-12,UCI-85123A,0,Sat
2011-11-13,UCI-85123A,67,Sun
2011-11-14,UCI-85123A,380,Mon
2011-11-15,UCI-85123A,457,Tue
2011-11-16,UCI-85123A,160,Wed
2011-11-17,UCI-85123A,102,Thu
2011-11-18,UCI-85123A,125,Fri
2011-11-19,UCI-85123A,0,Sat
2011-11-20,UCI-85123A,102,Sun
2011-11-21,UCI-85123A,36,Mon
2011-11-22,UCI-85123A,253,Tue
2011-11-23,UCI-85123A,251,Wed
2011-11-24,UCI-85123A,131,Thu
2011-11-25,UCI-85123A,225,Fri
2011-11-26,UCI-85123A,0,Sat
2011-11-27,UCI-85123A,8,Sun
2011-11-28,UCI-85123A,133,Mon
2011-11-29,UCI-85123A,117,Tue
2011-11-30,UCI-85123A,315,Wed
2011-12-01,UCI-85123A,41,Thu
2011-12-02,UCI-85123A,117,Fri
2011-12-03,UCI-85123A,0,Sat
2011-12-04,UCI-85123A,8,Sun
2011-12-05,UCI-85123A,313,Mon
2011-12-06,UCI-85123A,39,Tue
2011-12-07,UCI-85123A,202,Wed
2011-12-08,UCI-85123A,115,Thu
2011-12-09,UCI-85123A,4,Fri
